symbol
^STI
^GSPC
^IXIC
^HSI
A17U.SI
BN4.SI
BS6.SI
C07.SI
C09.SI
C31.SI
C38U.SI
C52.SI
C61U.SI
C6L.SI
CC3.SI
D05.SI
E5H.SI
F34.SI
G13.SI
H78.SI
MC0.SI
NS8U.SI
O39.SI
S51.SI
S58.SI
S59.SI
S63.SI
S68.SI
T39.SI
U11.SI
U14.SI
U96.SI
Y92.SI
Z74.SI
V03.SI
S53.SI
